notebook_name,notebook_id,purpose
loadgold,9ba10749-f3e3-4115-84ce-b6728bbd347d,Builds dimensions and fact tables in Gold
GoldImprovments,b19e5a56-51b3-4a7e-adeb-df517b365d47,Applies fixes including dim_dpd_bucket_v2 and ontology related V2 tables
